Supply,Amount,Unit Price,Total Price,Artist Fee,Platform Fee
531100.0,10300,4.438232,46165.801507,6924.8702260499995,2308.29007535
541500.0,10400,4.499931,47257.45428,7088.618141999999,2362.872714
552000.0,10500,4.561867,48363.965494,7254.5948241,2418.1982746999997
562600.0,10600,4.624039,49485.392186,7422.808827899999,2474.2696093
573300.0,10700,4.686447,50621.791066,7593.268659899999,2531.0895533000003
584100.0,10800,4.749088,51773.218526,7765.982778899999,2588.6609263
595000.0,10900,4.811961,52939.730642,7940.9595963,2646.9865321
606000.0,11000,4.875066,54121.383181,8118.207477149999,2706.06915905
617100.0,11100,4.9384,55318.231605,8297.73474075,2765.91158025
628300.0,11200,5.001963,56530.331073,8479.54966095,2826.5165536500003
639600.0,11300,5.065754,57757.736449,8663.66046735,2887.88682245
651000.0,11400,5.129771,59000.502302,8850.0753453,2950.0251151
662500.0,11500,5.194013,60258.682916,9038.8024374,3012.9341458
674100.0,11600,5.258478,61532.332288,9229.8498432,3076.6166144
685800.0,11700,5.323167,62821.504134,9423.2256201,3141.0752067000003
697600.0,11800,5.388077,64126.251894,9618.9377841,3206.3125947000003
709500.0,11900,5.453208,65446.628738,9816.9943107,3272.3314369
721500.0,12000,5.518559,66782.687561,10017.40313415,3339.13437805
733600.0,12100,5.584128,68134.480997,10220.17214955,3406.7240498500005
745800.0,12200,5.649914,69502.061416,10425.3092124,3475.1030708
758100.0,12300,5.715916,70885.480929,10632.822139349999,3544.2740464500002
770500.0,12400,5.782134,72284.791393,10842.71870895,3614.2395696500007
783000.0,12500,5.848566,73700.044412,11055.0066618,3685.0022206000003
795600.0,12600,5.915211,75131.291341,11269.69370115,3756.5645670500003
808300.0,12700,5.982068,76578.583291,11486.78749365,3828.92916455
821100.0,12800,6.049136,78041.971127,11706.29566905,3902.09855635
834000.0,12900,6.116415,79521.505478,11928.2258217,3976.0752739000004
847000.0,13000,6.183902,81017.236735,12152.585510249999,4050.8618367500003
860100.0,13100,6.251599,82529.215057,12379.382258549998,4126.46075285
873300.0,13200,6.319502,84057.490369,12608.623555350001,4202.87451845
886600.0,13300,6.387612,85602.112371,12840.316855649999,4280.10561855
900000.0,13400,6.455927,87163.130536,13074.469580399998,4358.1565268
913500.0,13500,6.524447,88740.594116,13311.089117399999,4437.0297058
927100.0,13600,6.593171,90334.552143,13550.182821449998,4516.72760715
940800.0,13700,6.662097,91945.05343,13791.7580145,4597.2526715
954600.0,13800,6.731225,93572.146578,14035.821986699999,4678.6073289000005
968500.0,13900,6.800555,95215.879973,14282.38199595,4760.7939986500005
982500.0,14000,6.870084,96876.301793,14531.445268950001,4843.81508965
996600.0,14100,6.939813,98553.460009,14783.01900135,4927.6730004500005
1010800.0,14200,7.00974,100247.402385,15037.110357749998,5012.37011925
1025100.0,14300,7.079865,101958.176485,15293.72647275,5097.90882425
1039500.0,14400,7.150187,103685.82967,15552.8744505,5184.291483500001
1054000.0,14500,7.220705,105430.409104,15814.5613656,5271.5204552000005
1068600.0,14600,7.291418,107191.961756,16078.7942634,5359.598087800001
1083300.0,14700,7.362325,108970.534399,16345.580159849998,5448.52671995
1098100.0,14800,7.433426,110766.173616,16614.9260424,5538.308680800001
1113000.0,14900,7.50472,112578.9258,16886.83887,5628.94629
1128000.0,15000,7.576206,114408.837157,17161.32557355,5720.441857850001
1143100.0,15100,7.647883,116255.953705,17438.39305575,5812.7976852500005
1158300.0,15200,7.719751,118120.321281,17718.04819215,5906.01606405
1173600.0,15300,7.791809,120001.985539,18000.29783085,6000.099276950001
